epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7794.01,0.35514,0.27745,0.80338,0.99976,0.99985,0.99499,0.93399,0.26351,0.23258,0.78448,0.00091175,0.00091175,0.00091175
43,7979.83,0.35276,0.27773,0.80261,0.9997,0.99982,0.995,0.91571,0.31986,0.23779,0.78478,0.0009035,0.0009035,0.0009035
44,8164.98,0.33759,0.27462,0.80178,0.99981,0.99985,0.995,0.93948,0.23537,0.21416,0.78075,0.00089525,0.00089525,0.00089525
45,8349.64,0.30558,0.25596,0.79988,0.99968,0.99987,0.99498,0.91559,0.29632,0.22723,0.78137,0.000887,0.000887,0.000887
46,8533.91,0.34281,0.26573,0.80096,0.99953,0.99936,0.99495,0.91059,0.30075,0.23721,0.78315,0.00087875,0.00087875,0.00087875
47,8717.8,0.35558,0.26785,0.80113,0.99975,0.99985,0.99499,0.94436,0.25012,0.21963,0.78168,0.0008705,0.0008705,0.0008705
48,8901.85,0.31767,0.26071,0.79968,0.9997,0.99982,0.995,0.95015,0.23414,0.21358,0.78031,0.00086225,0.00086225,0.00086225
49,9087.38,0.32301,0.26128,0.79975,0.99976,0.99979,0.995,0.95007,0.24264,0.21723,0.78092,0.000854,0.000854,0.000854
50,9273.11,0.32303,0.25703,0.79949,0.99901,0.99983,0.995,0.9216,0.28061,0.21827,0.77981,0.00084575,0.00084575,0.00084575
51,9458.6,0.31347,0.25711,0.7971,0.99984,0.99985,0.995,0.95468,0.22351,0.20187,0.77864,0.0008375,0.0008375,0.0008375
52,9644.01,0.3227,0.25412,0.79738,0.99986,0.99987,0.995,0.95185,0.22217,0.20097,0.78007,0.00082925,0.00082925,0.00082925
53,9829.67,0.31576,0.24935,0.79695,0.99981,0.99987,0.995,0.92609,0.30135,0.21911,0.78016,0.000821,0.000821,0.000821
54,10015.6,0.30497,0.24183,0.7971,0.99981,0.99987,0.995,0.95726,0.22566,0.19349,0.77732,0.00081275,0.00081275,0.00081275
55,10200.7,0.28576,0.23588,0.79607,0.9998,0.99985,0.995,0.93724,0.24334,0.20396,0.77918,0.0008045,0.0008045,0.0008045
56,10385.2,0.29676,0.24242,0.79806,0.9998,0.99987,0.995,0.96175,0.21791,0.19756,0.77813,0.00079625,0.00079625,0.00079625
57,10569.7,0.35003,0.25953,0.79603,0.99986,0.99987,0.995,0.93756,0.22412,0.1995,0.77916,0.000788,0.000788,0.000788
58,10754.8,0.3038,0.245,0.79749,0.99985,0.99986,0.995,0.93195,0.24215,0.20624,0.77892,0.00077975,0.00077975,0.00077975
59,10940,0.28971,0.23979,0.79579,0.99975,0.99985,0.995,0.94542,0.21147,0.1918,0.77731,0.0007715,0.0007715,0.0007715
60,11125.2,0.28657,0.23565,0.79481,0.99985,0.99987,0.995,0.95154,0.21712,0.19321,0.77844,0.00076325,0.00076325,0.00076325
61,11310.7,0.30167,0.23715,0.79516,0.99985,0.99987,0.995,0.95269,0.19912,0.18416,0.77641,0.000755,0.000755,0.000755
62,11496.2,0.2851,0.23174,0.79321,0.99988,0.99987,0.995,0.95177,0.23237,0.19094,0.77721,0.00074675,0.00074675,0.00074675
63,11682.4,0.28631,0.23498,0.79327,0.99985,0.99987,0.995,0.95441,0.21085,0.1877,0.77785,0.0007385,0.0007385,0.0007385
64,11868.2,0.27868,0.23004,0.793,0.99985,0.99985,0.995,0.95665,0.19244,0.18313,0.77608,0.00073025,0.00073025,0.00073025
65,12053.6,0.2757,0.22513,0.79429,0.99989,0.99985,0.995,0.95737,0.21766,0.18964,0.77919,0.000722,0.000722,0.000722
